OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,MonitoringLocationIdentifier,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionEquipmentName,ResultDetectionConditionText,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,PreparationStartDate,ProviderName
USGS-WV,USGS West Virginia Water Science Center,nwiswv.01.97100883,Sample-Routine,Water,Surface Water,1971-01-25,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-03206000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Carbon dioxide,Total,3.1,mg/l,,Historical,,Actual,,,,,,,00405,,,,,,ALGOR,USGS,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,NWIS
USGS-WV,USGS West Virginia Water Science Center,nwiswv.01.97100883,Sample-Routine,Water,Surface Water,1971-01-25,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-03206000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Alkalinity,Total,39,mg/l CaCO3,,Historical,,Actual,,,,,,,00410,,,,,,,,,,,,,,,,,NWIS
USGS-WV,USGS West Virginia Water Science Center,nwiswv.01.97100883,Sample-Routine,Water,Surface Water,1971-01-25,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-03206000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Bicarbonate,Total,48,mg/l,,Historical,,Actual,,,,,,,00440,,,,,,,,,,,,,,,,,NWIS
USGS-WV,USGS West Virginia Water Science Center,nwiswv.01.97100883,Sample-Routine,Water,Surface Water,1971-01-25,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-03206000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,"Hardness, Ca, Mg",,4,mg/l CaCO3,,Historical,,Actual,,,,,,,00900,,,,,,,,,,,,,,,,,NWIS
USGS-WV,USGS West Virginia Water Science Center,nwiswv.01.97100883,Sample-Routine,Water,Surface Water,1971-01-25,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-03206000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,"Hardness, non-carbonate",Total,0.0,mg/l CaCO3,,Historical,,Actual,,,,,,,00902,,,,,,,,,,,,,,,,,NWIS
USGS-WV,USGS West Virginia Water Science Center,nwiswv.01.97100883,Sample-Routine,Water,Surface Water,1971-01-25,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-03206000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Calcium,Dissolved,8.00,mg/l,,Historical,,Actual,,,,,,,00915,,,,,,,,,,,,,,,,,NWIS
USGS-WV,USGS West Virginia Water Science Center,nwiswv.01.97100883,Sample-Routine,Water,Surface Water,1971-01-25,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-03206000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,27.0,mg/l,,Historical,,Actual,,,,,,,00940,,,,,,,,,,,,,,,,,NWIS
USGS-WV,USGS West Virginia Water Science Center,nwiswv.01.97100883,Sample-Routine,Water,Surface Water,1971-01-25,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-03206000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,"Stream flow, instantaneous",,1760,m3/sec,,Historical,,Actual,,,,,,,30209,,,,,,ALGOR,USGS,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,NWIS
USGS-WV,USGS West Virginia Water Science Center,nwiswv.01.97100884,Sample-Routine,Water,Surface Water,1971-03-16,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-03206000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,"Temperature, water",,7.5,deg C,,Historical,,Actual,,,,,,,00010,,,,,,,,,,,,,,,,,NWIS
USGS-WV,USGS West Virginia Water Science Center,nwiswv.01.97100884,Sample-Routine,Water,Surface Water,1971-03-16,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-03206000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,"Temperature, air, deg C",,7.5,deg C,,Historical,,Actual,,,,,,,00020,,,,,,,,,,,,,,,,,NWIS
USGS-WV,USGS West Virginia Water Science Center,nwiswv.01.97100884,Sample-Routine,Water,Surface Water,1971-03-16,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-03206000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,"Stream flow, instantaneous",,149000,ft3/s,,Historical,,Actual,,,,,,,00061,,,,,,,,,,,,,,,,,NWIS
USGS-WV,USGS West Virginia Water Science Center,nwiswv.01.97100884,Sample-Routine,Water,Surface Water,1971-03-16,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-03206000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,"Height, gage",,29.94,ft,,Historical,,Actual,,,,,,,00065,,,,,,,,,,,,,,,,,NWIS
USGS-WV,USGS West Virginia Water Science Center,nwiswv.01.97100884,Sample-Routine,Water,Surface Water,1971-03-16,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-03206000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Specific conductance,Total,320,uS/cm @25C,,Historical,,Actual,,,25 deg C,,,,00095,,,,,,,,,,,,,,,,,NWIS
USGS-WV,USGS West Virginia Water Science Center,nwiswv.01.97100884,Sample-Routine,Water,Surface Water,1971-03-16,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-03206000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,"Acidity, (H+)",Total,0.00016,mg/l,,Historical,,Actual,,,,,,,00191,,,,,,ALGOR,USGS,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,NWIS
USGS-WV,USGS West Virginia Water Science Center,nwiswv.01.97100884,Sample-Routine,Water,Surface Water,1971-03-16,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-03206000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,pH,Total,6.8,std units,,Historical,,Actual,,,,,,,00400,,,,,,,,,,,,,,,,,NWIS
USGS-WV,USGS West Virginia Water Science Center,nwiswv.01.97100884,Sample-Routine,Water,Surface Water,1971-03-16,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-03206000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,"Hardness, Ca, Mg",,4,mg/l CaCO3,,Historical,,Actual,,,,,,,00900,,,,,,,,,,,,,,,,,NWIS
USGS-WV,USGS West Virginia Water Science Center,nwiswv.01.97100884,Sample-Routine,Water,Surface Water,1971-03-16,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-03206000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Calcium,Dissolved,4.00,mg/l,,Historical,,Actual,,,,,,,00915,,,,,,,,,,,,,,,,,NWIS
USGS-WV,USGS West Virginia Water Science Center,nwiswv.01.97100884,Sample-Routine,Water,Surface Water,1971-03-16,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-03206000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,25.0,mg/l,,Historical,,Actual,,,,,,,00940,,,,,,,,,,,,,,,,,NWIS
USGS-WV,USGS West Virginia Water Science Center,nwiswv.01.97100884,Sample-Routine,Water,Surface Water,1971-03-16,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-03206000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,"Height, gage",,9.13,m,,Historical,,Actual,,,,,,,30207,,,,,,ALGOR,USGS,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,NWIS
USGS-WV,USGS West Virginia Water Science Center,nwiswv.01.97100884,Sample-Routine,Water,Surface Water,1971-03-16,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-03206000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,"Stream flow, instantaneous",,4220,m3/sec,,Historical,,Actual,,,,,,,30209,,,,,,ALGOR,USGS,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,NWIS
USGS-WV,USGS West Virginia Water Science Center,nwiswv.01.97000969,Sample-Routine,Water,Surface Water,1970-02-10,10:15:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-03206000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,"Temperature, water",,1.0,deg C,,Historical,,Actual,,,,,,,00010,,,,,,,,,,,,,,,,,NWIS
USGS-WV,USGS West Virginia Water Science Center,nwiswv.01.97000969,Sample-Routine,Water,Surface Water,1970-02-10,10:15:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-03206000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,"Temperature, air, deg C",,2.0,deg C,,Historical,,Actual,,,,,,,00020,,,,,,,,,,,,,,,,,NWIS
USGS-WV,USGS West Virginia Water Science Center,nwiswv.01.97000969,Sample-Routine,Water,Surface Water,1970-02-10,10:15:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-03206000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,"Stream flow, instantaneous",,186000,ft3/s,,Historical,,Actual,,,,,,,00061,,,,,,,,,,,,,,,,,NWIS
USGS-WV,USGS West Virginia Water Science Center,nwiswv.01.97000969,Sample-Routine,Water,Surface Water,1970-02-10,10:15:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-03206000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Specific conductance,Total,295,uS/cm @25C,,Historical,,Actual,,,25 deg C,,,,00095,,,,,,,,,,,,,,,,,NWIS
USGS-WV,USGS West Virginia Water Science Center,nwiswv.01.97000969,Sample-Routine,Water,Surface Water,1970-02-10,10:15:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-03206000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,"Acidity, (H+)",Total,0.00005,mg/l,,Historical,,Actual,,,,,,,00191,,,,,,ALGOR,USGS,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,NWIS
USGS-WV,USGS West Virginia Water Science Center,nwiswv.01.97000969,Sample-Routine,Water,Surface Water,1970-02-10,10:15:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-03206000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,pH,Total,7.3,std units,,Historical,,Actual,,,,,,,00400,,,,,,,,,,,,,,,,,NWIS
USGS-WV,USGS West Virginia Water Science Center,nwiswv.01.97000969,Sample-Routine,Water,Surface Water,1970-02-10,10:15:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-03206000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,"Stream flow, instantaneous",,5270,m3/sec,,Historical,,Actual,,,,,,,30209,,,,,,ALGOR,USGS,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,NWIS
USGS-WV,USGS West Virginia Water Science Center,nwiswv.01.97100885,Sample-Routine,Water,Surface Water,1971-04-15,,,,,,,,,,,,,,,USGS-03206000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,"Temperature, water",,14.0,deg C,,Historical,,Actual,,,,,,,00010,,,,,,,,,,,,,,,,,NWIS
USGS-WV,USGS West Virginia Water Science Center,nwiswv.01.97100885,Sample-Routine,Water,Surface Water,1971-04-15,,,,,,,,,,,,,,,USGS-03206000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,"Temperature, air, deg C",,22.0,deg C,,Historical,,Actual,,,,,,,00020,,,,,,,,,,,,,,,,,NWIS
USGS-WV,USGS West Virginia Water Science Center,nwiswv.01.97100885,Sample-Routine,Water,Surface Water,1971-04-15,,,,,,,,,,,,,,,USGS-03206000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,"Height, gage",,25.80,ft,,Historical,,Actual,,,,,,,00065,,,,,,,,,,,,,,,,,NWIS
USGS-WV,USGS West Virginia Water Science Center,nwiswv.01.97100885,Sample-Routine,Water,Surface Water,1971-04-15,,,,,,,,,,,,,,,USGS-03206000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Specific conductance,Total,360,uS/cm @25C,,Historical,,Actual,,,25 deg C,,,,00095,,,,,,,,,,,,,,,,,NWIS
USGS-WV,USGS West Virginia Water Science Center,nwiswv.01.97100885,Sample-Routine,Water,Surface Water,1971-04-15,,,,,,,,,,,,,,,USGS-03206000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,"Acidity, (H+)",Total,0.00010,mg/l,,Historical,,Actual,,,,,,,00191,,,,,,ALGOR,USGS,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,NWIS
USGS-WV,USGS West Virginia Water Science Center,nwiswv.01.97100885,Sample-Routine,Water,Surface Water,1971-04-15,,,,,,,,,,,,,,,USGS-03206000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,pH,Total,7.0,std units,,Historical,,Actual,,,,,,,00400,,,,,,,,,,,,,,,,,NWIS
USGS-WV,USGS West Virginia Water Science Center,nwiswv.01.97100885,Sample-Routine,Water,Surface Water,1971-04-15,,,,,,,,,,,,,,,USGS-03206000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,"Hardness, Ca, Mg",,4,mg/l CaCO3,,Historical,,Actual,,,,,,,00900,,,,,,,,,,,,,,,,,NWIS
USGS-WV,USGS West Virginia Water Science Center,nwiswv.01.97100885,Sample-Routine,Water,Surface Water,1971-04-15,,,,,,,,,,,,,,,USGS-03206000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Calcium,Dissolved,0.00,mg/l,,Historical,,Actual,,,,,,,00915,,,,,,,,,,,,,,,,,NWIS
USGS-WV,USGS West Virginia Water Science Center,nwiswv.01.97100885,Sample-Routine,Water,Surface Water,1971-04-15,,,,,,,,,,,,,,,USGS-03206000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,31.0,mg/l,,Historical,,Actual,,,,,,,00940,,,,,,,,,,,,,,,,,NWIS
USGS-WV,USGS West Virginia Water Science Center,nwiswv.01.97100885,Sample-Routine,Water,Surface Water,1971-04-15,,,,,,,,,,,,,,,USGS-03206000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,"Height, gage",,7.86,m,,Historical,,Actual,,,,,,,30207,,,,,,ALGOR,USGS,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,NWIS
USGS-WV,USGS West Virginia Water Science Center,nwiswv.01.97100886,Sample-Routine,Water,Surface Water,1971-06-03,,,,,,,,,,,,,,,USGS-03206000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,"Temperature, water",,18.0,deg C,,Historical,,Actual,,,,,,,00010,,,,,,,,,,,,,,,,,NWIS
USGS-WV,USGS West Virginia Water Science Center,nwiswv.01.97100886,Sample-Routine,Water,Surface Water,1971-06-03,,,,,,,,,,,,,,,USGS-03206000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,"Temperature, air, deg C",,34.0,deg C,,Historical,,Actual,,,,,,,00020,,,,,,,,,,,,,,,,,NWIS
USGS-WV,USGS West Virginia Water Science Center,nwiswv.01.97100886,Sample-Routine,Water,Surface Water,1971-06-03,,,,,,,,,,,,,,,USGS-03206000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,"Height, gage",,25.42,ft,,Historical,,Actual,,,,,,,00065,,,,,,,,,,,,,,,,,NWIS
USGS-WV,USGS West Virginia Water Science Center,nwiswv.01.97100886,Sample-Routine,Water,Surface Water,1971-06-03,,,,,,,,,,,,,,,USGS-03206000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Specific conductance,Total,200,uS/cm @25C,,Historical,,Actual,,,25 deg C,,,,00095,,,,,,,,,,,,,,,,,NWIS
USGS-WV,USGS West Virginia Water Science Center,nwiswv.01.97100886,Sample-Routine,Water,Surface Water,1971-06-03,,,,,,,,,,,,,,,USGS-03206000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,"Acidity, (H+)",Total,0.00005,mg/l,,Historical,,Actual,,,,,,,00191,,,,,,ALGOR,USGS,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,NWIS
USGS-WV,USGS West Virginia Water Science Center,nwiswv.01.97100886,Sample-Routine,Water,Surface Water,1971-06-03,,,,,,,,,,,,,,,USGS-03206000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Oxygen,Dissolved,8.0,mg/l,,Historical,,Actual,,,,,,,00300,,,,,,,,,,,,,,,,,NWIS
USGS-WV,USGS West Virginia Water Science Center,nwiswv.01.97100886,Sample-Routine,Water,Surface Water,1971-06-03,,,,,,,,,,,,,,,USGS-03206000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,pH,Total,7.3,std units,,Historical,,Actual,,,,,,,00400,,,,,,,,,,,,,,,,,NWIS
USGS-WV,USGS West Virginia Water Science Center,nwiswv.01.97100886,Sample-Routine,Water,Surface Water,1971-06-03,,,,,,,,,,,,,,,USGS-03206000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Carbon dioxide,Total,3.9,mg/l,,Historical,,Actual,,,,,,,00405,,,,,,ALGOR,USGS,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,NWIS
USGS-WV,USGS West Virginia Water Science Center,nwiswv.01.97100886,Sample-Routine,Water,Surface Water,1971-06-03,,,,,,,,,,,,,,,USGS-03206000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Alkalinity,Total,39,mg/l CaCO3,,Historical,,Actual,,,,,,,00410,,,,,,,,,,,,,,,,,NWIS
USGS-WV,USGS West Virginia Water Science Center,nwiswv.01.97100886,Sample-Routine,Water,Surface Water,1971-06-03,,,,,,,,,,,,,,,USGS-03206000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Bicarbonate,Total,48,mg/l,,Historical,,Actual,,,,,,,00440,,,,,,,,,,,,,,,,,NWIS
USGS-WV,USGS West Virginia Water Science Center,nwiswv.01.97100886,Sample-Routine,Water,Surface Water,1971-06-03,,,,,,,,,,,,,,,USGS-03206000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,"Hardness, Ca, Mg",,40,mg/l CaCO3,,Historical,,Actual,,,,,,,00900,,,,,,,,,,,,,,,,,NWIS
USGS-WV,USGS West Virginia Water Science Center,nwiswv.01.97100886,Sample-Routine,Water,Surface Water,1971-06-03,,,,,,,,,,,,,,,USGS-03206000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,"Hardness, non-carbonate",Total,1,mg/l CaCO3,,Historical,,Actual,,,,,,,00902,,,,,,,,,,,,,,,,,NWIS
USGS-WV,USGS West Virginia Water Science Center,nwiswv.01.97100886,Sample-Routine,Water,Surface Water,1971-06-03,,,,,,,,,,,,,,,USGS-03206000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Calcium,Dissolved,8.00,mg/l,,Historical,,Actual,,,,,,,00915,,,,,,,,,,,,,,,,,NWIS
USGS-WV,USGS West Virginia Water Science Center,nwiswv.01.97100886,Sample-Routine,Water,Surface Water,1971-06-03,,,,,,,,,,,,,,,USGS-03206000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,15.0,mg/l,,Historical,,Actual,,,,,,,00940,,,,,,,,,,,,,,,,,NWIS
USGS-WV,USGS West Virginia Water Science Center,nwiswv.01.97100886,Sample-Routine,Water,Surface Water,1971-06-03,,,,,,,,,,,,,,,USGS-03206000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,"Height, gage",,7.75,m,,Historical,,Actual,,,,,,,30207,,,,,,ALGOR,USGS,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,NWIS
